Density Factor,Number of Users,Resource Sharing Level,Scaled Resource,Max Linear Resources
0.5,20,Low,177.88854381999835,200
0.5,20,Medium,144.72135954999578,200
0.5,20,High,100.4984471899924,200
0.5,40,Low,370.59644256269405,400
0.5,40,Medium,326.4911064067352,400
0.5,40,High,267.68399153212334,400
0.5,60,Low,572.951600308978,600
0.5,60,Medium,532.379000772445,600
0.5,60,High,478.28220139040104,600
0.5,80,Low,783.1083505599865,800
0.5,80,Medium,757.7708763999664,800
0.5,80,High,723.9875775199394,800
0.5,100,Low,1000.0,1000
0.5,100,Medium,1000.0,1000
0.5,100,High,1000.0,1000
0.5,120,Low,1222.9068276024796,1200
0.5,120,Medium,1257.2670690061993,1200
0.5,120,High,1303.0807242111587,1200
0.5,140,Low,1451.3004678535785,1400
0.5,140,Medium,1528.2511696339463,1400
0.5,140,High,1630.8521053411032,1400
1.0,20,Low,168.0,200
1.0,20,Medium,120.0,200
1.0,20,High,55.99999999999998,200
1.0,40,Low,352.0,400
1.0,40,Medium,280.0,400
1.0,40,High,184.0,400
1.0,60,Low,552.0,600
1.0,60,Medium,480.0,600
1.0,60,High,383.9999999999999,600
1.0,80,Low,768.0,800
1.0,80,Medium,720.0,800
1.0,80,High,656.0000000000001,800
1.0,100,Low,1000.0,1000
1.0,100,Medium,1000.0,1000
1.0,100,High,1000.0,1000
1.0,120,Low,1248.0,1200
1.0,120,Medium,1320.0,1200
1.0,120,High,1416.0,1200
1.0,140,Low,1512.0000000000002,1400
1.0,140,Medium,1680.0,1400
1.0,140,High,1903.9999999999998,1400
1.5,20,Low,163.57770876399968,200
1.5,20,Medium,108.94427190999917,200
1.5,20,High,36.099689437998485,200
1.5,40,Low,340.23857702507763,400
1.5,40,Medium,250.59644256269408,400
1.5,40,High,131.07359661284934,400
1.5,60,Low,535.7709601853868,600
1.5,60,Medium,439.427400463467,600
1.5,60,High,310.9693208342406,600
1.5,80,Low,754.4866804479892,800
1.5,80,Medium,686.2167011199732,800
1.5,80,High,595.1900620159516,800
1.5,100,Low,1000.0,1000
1.5,100,Medium,1000.0,1000
1.5,100,High,1000.0,1000
1.5,120,Low,1275.4881931229759,1200
1.5,120,Medium,1388.720482807439,1200
1.5,120,High,1539.6968690533902,1200
1.5,140,Low,1583.8206549950098,1400
1.5,140,Medium,1859.5516374875249,1400
1.5,140,High,2227.1929474775443,1400
2.0,20,Low,161.6,200
2.0,20,Medium,104.0,200
2.0,20,High,27.200000000000003,200
2.0,40,Low,332.8,400
2.0,40,Medium,232.00000000000003,400
2.0,40,High,97.6,400
2.0,60,Low,523.2,600
2.0,60,Medium,408.0,600
2.0,60,High,254.39999999999998,600
2.0,80,Low,742.4000000000001,800
2.0,80,Medium,656.0000000000001,800
2.0,80,High,540.8000000000002,800
2.0,100,Low,1000.0,1000
2.0,100,Medium,1000.0,1000
2.0,100,High,1000.0,1000
2.0,120,Low,1305.6,1200
2.0,120,Medium,1464.0,1200
2.0,120,High,1675.1999999999998,1200
2.0,140,Low,1668.8,1400
2.0,140,Medium,2072.0,1400
2.0,140,High,2609.6,1400
